city,query_variant,phrase,monthly_frequency
Москва,переоборудование газели в эвакуатор,переоборудование газели в эвакуатор,9
Москва,переоборудование газели в эвакуатор,переоборудование газели в эвакуатор цена,1
Москва,переоборудование в эвакуатор цена,переоборудование в эвакуатор цена,1
Москва,переоборудование в эвакуатор цена,переоборудование газели в эвакуатор цена,1
Москва,эвакуатор с выдвижной платформой,эвакуатор с выдвижной платформой,8
Москва,эвакуатор с ломаной платформой,эвакуатор с ломаной платформой,3
Москва,изготовление эвакуаторов,изготовление эвакуаторов,11
Москва,изготовление эвакуаторов,изготовление грузового эвакуатора,5
Москва,изготовление эвакуаторов,изготовление платформы для эвакуатора,1
Москва,эвакуатор под ключ,эвакуатор под ключ,2
Москва,эвакуаторная платформа купить,эвакуаторная платформа купить,17
Москва,эвакуаторная платформа купить,купить эвакуаторную платформу б у,2
Москва,эвакуаторная платформа купить,эвакуаторная сдвижная платформа купить,2
Москва,эвакуаторная платформа купить,купить эвакуаторную платформу на газель,1
Санкт-Петербург,переоборудование газели в эвакуатор,переоборудование газели в эвакуатор,2
Санкт-Петербург,переоборудование газели в эвакуатор,переоборудование газели в эвакуатор цена,2
Санкт-Петербург,переоборудование в эвакуатор цена,переоборудование в эвакуатор цена,2
Санкт-Петербург,переоборудование в эвакуатор цена,переоборудование газели в эвакуатор цена,2
Санкт-Петербург,эвакуатор с выдвижной платформой,эвакуатор с выдвижной платформой,2
Санкт-Петербург,эвакуатор с ломаной платформой,эвакуатор с ломаной платформой,2
Санкт-Петербург,изготовление эвакуаторов,изготовление платформы для эвакуатора,11
Санкт-Петербург,изготовление эвакуаторов,изготовление эвакуаторов,11
Санкт-Петербург,эвакуаторная платформа купить,эвакуаторная платформа купить,2
Новосибирск,переоборудование газели в эвакуатор,переоборудование газели в эвакуатор,4
Новосибирск,эвакуатор с выдвижной платформой,эвакуатор с выдвижной платформой,3
Новосибирск,эвакуатор с ломаной платформой,эвакуатор с ломаной платформой,3
Новосибирск,эвакуаторная платформа купить,эвакуаторная платформа купить,9
Новосибирск,эвакуаторная платформа купить,эвакуаторная сдвижная платформа купить,5
Новосибирск,эвакуаторная платформа купить,купить эвакуаторную платформу на газель,1
Екатеринбург,изготовление эвакуаторов,изготовление эвакуаторов,4
Екатеринбург,эвакуаторная платформа купить,эвакуаторная платформа купить,7
Екатеринбург,эвакуаторная платформа купить,эвакуаторная платформа купить бу,2
Нижний Новгород,переоборудование газели в эвакуатор,переоборудование газели в эвакуатор,1
Нижний Новгород,эвакуатор с ломаной платформой,эвакуатор с ломаной платформой,10
Нижний Новгород,изготовление эвакуаторов,изготовление эвакуаторов,1
Челябинск,эвакуатор с выдвижной платформой,эвакуатор с выдвижной платформой,1
Челябинск,эвакуатор с ломаной платформой,эвакуатор с ломаной платформой,1
Челябинск,изготовление эвакуаторов,изготовление платформы эвакуатора,2
Челябинск,изготовление эвакуаторов,изготовление эвакуаторов,2
Челябинск,эвакуаторная платформа купить,эвакуаторная платформа купить,2
Красноярск,изготовление эвакуаторов,изготовление эвакуаторов,2
Самара,изготовление эвакуаторов,изготовление платформы для эвакуатора,1
Самара,изготовление эвакуаторов,изготовление эвакуаторов,1
Уфа,эвакуатор с выдвижной платформой,эвакуатор с выдвижной платформой,1
Уфа,изготовление эвакуаторов,изготовление эвакуаторов,1
Ростов-на-Дону,изготовление эвакуаторов,изготовление грузового эвакуатора,1
Ростов-на-Дону,изготовление эвакуаторов,изготовление эвакуаторов,1
Омск,переоборудование газели в эвакуатор,переоборудование газели в эвакуатор,2
