city,query,monthly_frequency,exact_variants_found,commercial_share_percent
Москва,переоборудование газели в эвакуатор,9,2,50.0
Москва,переоборудование в эвакуатор цена,1,2,100.0
Москва,эвакуатор с выдвижной платформой,8,1,0.0
Москва,эвакуатор с ломаной платформой,3,1,0.0
Москва,изготовление эвакуаторов,11,3,100.0
Москва,эвакуатор под ключ,2,1,0.0
Москва,кузов эвакуатор купить,0,0,0
Москва,эвакуаторная платформа купить,17,4,100.0
Санкт-Петербург,переоборудование газели в эвакуатор,2,2,50.0
Санкт-Петербург,переоборудование в эвакуатор цена,2,2,100.0
Санкт-Петербург,эвакуатор с выдвижной платформой,2,1,0.0
Санкт-Петербург,эвакуатор с ломаной платформой,2,1,0.0
Санкт-Петербург,изготовление эвакуаторов,11,2,100.0
Санкт-Петербург,эвакуатор под ключ,0,0,0
Санкт-Петербург,кузов эвакуатор купить,0,0,0
Санкт-Петербург,эвакуаторная платформа купить,2,1,100.0
Новосибирск,переоборудование газели в эвакуатор,4,1,0.0
Новосибирск,переоборудование в эвакуатор цена,0,0,0
Новосибирск,эвакуатор с выдвижной платформой,3,1,0.0
Новосибирск,эвакуатор с ломаной платформой,3,1,0.0
Новосибирск,изготовление эвакуаторов,0,0,0
Новосибирск,эвакуатор под ключ,0,0,0
Новосибирск,кузов эвакуатор купить,0,0,0
Новосибирск,эвакуаторная платформа купить,9,3,100.0
Екатеринбург,переоборудование газели в эвакуатор,0,0,0
Екатеринбург,переоборудование в эвакуатор цена,0,0,0
Екатеринбург,эвакуатор с выдвижной платформой,0,0,0
Екатеринбург,эвакуатор с ломаной платформой,0,0,0
Екатеринбург,изготовление эвакуаторов,4,1,100.0
Екатеринбург,эвакуатор под ключ,0,0,0
Екатеринбург,кузов эвакуатор купить,0,0,0
Екатеринбург,эвакуаторная платформа купить,7,2,100.0
Казань,переоборудование газели в эвакуатор,0,0,0
Казань,переоборудование в эвакуатор цена,0,0,0
Казань,эвакуатор с выдвижной платформой,0,0,0
Казань,эвакуатор с ломаной платформой,0,0,0
Казань,изготовление эвакуаторов,0,0,0
Казань,эвакуатор под ключ,0,0,0
Казань,кузов эвакуатор купить,0,0,0
Казань,эвакуаторная платформа купить,0,0,0
Нижний Новгород,переоборудование газели в эвакуатор,1,1,0.0
Нижний Новгород,переоборудование в эвакуатор цена,0,0,0
Нижний Новгород,эвакуатор с выдвижной платформой,0,0,0
Нижний Новгород,эвакуатор с ломаной платформой,10,1,0.0
Нижний Новгород,изготовление эвакуаторов,1,1,100.0
Нижний Новгород,эвакуатор под ключ,0,0,0
Нижний Новгород,кузов эвакуатор купить,0,0,0
Нижний Новгород,эвакуаторная платформа купить,0,0,0
Челябинск,переоборудование газели в эвакуатор,0,0,0
Челябинск,переоборудование в эвакуатор цена,0,0,0
Челябинск,эвакуатор с выдвижной платформой,1,1,0.0
Челябинск,эвакуатор с ломаной платформой,1,1,0.0
Челябинск,изготовление эвакуаторов,2,2,100.0
Челябинск,эвакуатор под ключ,0,0,0
Челябинск,кузов эвакуатор купить,0,0,0
Челябинск,эвакуаторная платформа купить,2,1,100.0
Красноярск,переоборудование газели в эвакуатор,0,0,0
Красноярск,переоборудование в эвакуатор цена,0,0,0
Красноярск,эвакуатор с выдвижной платформой,0,0,0
Красноярск,эвакуатор с ломаной платформой,0,0,0
Красноярск,изготовление эвакуаторов,2,1,100.0
Красноярск,эвакуатор под ключ,0,0,0
Красноярск,кузов эвакуатор купить,0,0,0
Красноярск,эвакуаторная платформа купить,0,0,0
Самара,переоборудование газели в эвакуатор,0,0,0
Самара,переоборудование в эвакуатор цена,0,0,0
Самара,эвакуатор с выдвижной платформой,0,0,0
Самара,эвакуатор с ломаной платформой,0,0,0
Самара,изготовление эвакуаторов,1,2,100.0
Самара,эвакуатор под ключ,0,0,0
Самара,кузов эвакуатор купить,0,0,0
Самара,эвакуаторная платформа купить,0,0,0
Уфа,переоборудование газели в эвакуатор,0,0,0
Уфа,переоборудование в эвакуатор цена,0,0,0
Уфа,эвакуатор с выдвижной платформой,1,1,0.0
Уфа,эвакуатор с ломаной платформой,0,0,0
Уфа,изготовление эвакуаторов,1,1,100.0
Уфа,эвакуатор под ключ,0,0,0
Уфа,кузов эвакуатор купить,0,0,0
Уфа,эвакуаторная платформа купить,0,0,0
Ростов-на-Дону,переоборудование газели в эвакуатор,0,0,0
Ростов-на-Дону,переоборудование в эвакуатор цена,0,0,0
Ростов-на-Дону,эвакуатор с выдвижной платформой,0,0,0
Ростов-на-Дону,эвакуатор с ломаной платформой,0,0,0
Ростов-на-Дону,изготовление эвакуаторов,1,2,100.0
Ростов-на-Дону,эвакуатор под ключ,0,0,0
Ростов-на-Дону,кузов эвакуатор купить,0,0,0
Ростов-на-Дону,эвакуаторная платформа купить,0,0,0
Краснодар,переоборудование газели в эвакуатор,0,0,0
Краснодар,переоборудование в эвакуатор цена,0,0,0
Краснодар,эвакуатор с выдвижной платформой,0,0,0
Краснодар,эвакуатор с ломаной платформой,0,0,0
Краснодар,изготовление эвакуаторов,0,0,0
Краснодар,эвакуатор под ключ,0,0,0
Краснодар,кузов эвакуатор купить,0,0,0
Краснодар,эвакуаторная платформа купить,0,0,0
Омск,переоборудование газели в эвакуатор,2,1,0.0
Омск,переоборудование в эвакуатор цена,0,0,0
Омск,эвакуатор с выдвижной платформой,0,0,0
Омск,эвакуатор с ломаной платформой,0,0,0
Омск,изготовление эвакуаторов,0,0,0
Омск,эвакуатор под ключ,0,0,0
Омск,кузов эвакуатор купить,0,0,0
Омск,эвакуаторная платформа купить,0,0,0
Воронеж,переоборудование газели в эвакуатор,0,0,0
Воронеж,переоборудование в эвакуатор цена,0,0,0
Воронеж,эвакуатор с выдвижной платформой,0,0,0
Воронеж,эвакуатор с ломаной платформой,0,0,0
Воронеж,изготовление эвакуаторов,0,0,0
Воронеж,эвакуатор под ключ,0,0,0
Воронеж,кузов эвакуатор купить,0,0,0
Воронеж,эвакуаторная платформа купить,0,0,0
Пермь,переоборудование газели в эвакуатор,0,0,0
Пермь,переоборудование в эвакуатор цена,0,0,0
Пермь,эвакуатор с выдвижной платформой,0,0,0
Пермь,эвакуатор с ломаной платформой,0,0,0
Пермь,изготовление эвакуаторов,0,0,0
Пермь,эвакуатор под ключ,0,0,0
Пермь,кузов эвакуатор купить,0,0,0
Пермь,эвакуаторная платформа купить,0,0,0
Волгоград,переоборудование газели в эвакуатор,0,0,0
Волгоград,переоборудование в эвакуатор цена,0,0,0
Волгоград,эвакуатор с выдвижной платформой,0,0,0
Волгоград,эвакуатор с ломаной платформой,0,0,0
Волгоград,изготовление эвакуаторов,0,0,0
Волгоград,эвакуатор под ключ,0,0,0
Волгоград,кузов эвакуатор купить,0,0,0
Волгоград,эвакуаторная платформа купить,0,0,0
Саратов,переоборудование газели в эвакуатор,0,0,0
Саратов,переоборудование в эвакуатор цена,0,0,0
Саратов,эвакуатор с выдвижной платформой,0,0,0
Саратов,эвакуатор с ломаной платформой,0,0,0
Саратов,изготовление эвакуаторов,0,0,0
Саратов,эвакуатор под ключ,0,0,0
Саратов,кузов эвакуатор купить,0,0,0
Саратов,эвакуаторная платформа купить,0,0,0
Тюмень,переоборудование газели в эвакуатор,0,0,0
Тюмень,переоборудование в эвакуатор цена,0,0,0
Тюмень,эвакуатор с выдвижной платформой,0,0,0
Тюмень,эвакуатор с ломаной платформой,0,0,0
Тюмень,изготовление эвакуаторов,0,0,0
